Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE
185,2-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:46:00,5.9,1.157,0.197,4.9,0,0,1
186,2-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:46:00,2.1,0.263,0.124,0,0,0,2.1
187,2-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:47:00,4.9,1.016,0.206,1.3,0.3,1.8,1.5
188,3-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:47:00,2.9,0.758,0.257,0,0.5,1.6,0.9
189,3-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:48:00,6.2,1.583,0.257,1,2.1,0,3.1
190,3-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:48:00,3.1,0.418,0.136,2.2,0,0,0.9
191,3-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:49:00,4.7,0.795,0.168,0,0,1.1,3.6
192,4-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:49:00,60,13.058,0.218,12.8,13.9,15,18.4
193,4-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:51:00,8.1,1.335,0.164,4.5,0,0,3.6
194,4-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:51:00,6.4,0.97,0.15,1.4,0,0,5
195,4-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:52:00,5.3,0.855,0.162,0,0,1.6,3.6
212,1b,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:00:00,4.6,0.949,0.208,1,0,1.2,2.4
213,1b,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:01:00,60,13.904,0.232,18.4,11.2,13.6,16.8
214,1b,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:02:00,5.5,2.243,0.404,2.6,0,0,3
215,1b,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:03:00,11.7,2.285,0.196,5.2,1.9,1.4,3.2
