Time,Centre position X,Centre position Y
149.610,145,333
149.720,145,333
149.840,145,333
149.950,145,333
150.070,145,333
150.190,145,333
150.300,144,332
150.420,145,332
150.530,145,332
150.650,144,332
150.760,144,332
150.880,144,332
151.000,144,332
151.120,144,332
151.240,144,332
151.350,144,332
151.470,146,331
151.580,149,330
151.700,151,328
151.820,150,325
151.940,150,320
152.060,151,317
152.190,150,317
152.300,153,317
152.410,158,318
152.520,163,318
152.640,170,321
152.760,173,322
152.870,174,326
152.980,175,329
153.110,175,328
153.230,175,328
153.350,176,330
153.460,177,331
153.570,178,332
153.690,178,332
153.800,179,332
153.910,179,332
154.020,179,332
154.130,180,332
154.250,180,332
154.370,180,332
154.490,180,332
154.600,181,332
154.720,181,332
154.830,181,332
154.950,181,332
155.060,180,331
155.180,179,329
155.300,179,329
155.420,178,330
155.540,180,331
155.650,181,332
155.760,179,332
155.870,179,331
155.990,179,331
156.110,181,330
156.220,186,329
156.340,193,329
156.460,198,327
156.570,203,327
156.690,204,325
156.800,207,321
156.910,210,316
157.040,210,311
157.150,209,307
157.270,207,298
157.400,203,288
157.510,200,280
157.630,200,279
157.750,200,280
157.860,200,280
157.970,202,282
158.080,203,283
158.190,205,280
158.310,211,273
158.430,217,265
158.540,226,257
158.650,228,253
158.760,232,247
158.880,238,241
158.990,242,235
159.110,242,235
159.230,241,232
159.350,242,226
159.460,241,215
159.580,242,208
159.690,242,203
159.800,243,192
159.930,245,179
160.040,245,171
160.160,245,164
160.270,248,160
160.380,251,153
160.500,258,142
160.610,261,136
160.720,263,133
160.840,265,132
160.960,269,129
161.080,274,123
161.190,276,121
161.310,276,121
161.430,277,118
161.560,274,117
161.680,272,117
161.790,271,114
161.900,270,110
162.010,271,112
162.130,273,114
162.240,274,114
162.350,274,112
162.470,274,113
162.580,273,114
162.700,274,113
162.810,275,109
162.930,280,101
163.050,281,95
163.170,282,95
163.290,279,98
163.400,276,97
163.510,276,96
163.630,276,97
163.750,278,98
163.860,281,98
163.980,282,98
164.090,281,99
164.210,281,99
164.330,281,99
164.440,277,97
164.560,272,93
164.670,259,86
164.790,247,80
164.920,237,76
165.030,226,72
165.150,215,73
165.270,199,73
165.380,188,76
165.500,180,79
165.610,176,82
165.730,171,87
165.850,165,95
165.970,155,106
166.080,149,115
166.200,146,122
166.320,145,131
166.440,145,135
166.550,144,144
166.670,145,165
166.790,145,191
166.900,144,204
167.020,144,208
167.130,144,218
167.250,145,225
167.360,144,238
167.470,144,243
167.600,144,249
167.700,144,251
167.810,144,251
167.920,144,250
168.030,143,252
168.140,143,252
168.260,143,252
168.380,143,252
168.490,143,252
168.600,143,253
168.710,143,253
168.830,146,251
168.950,148,251
169.070,152,255
169.190,164,265
169.300,173,269
169.420,184,276
169.530,198,281
169.650,215,286
169.760,231,289
169.880,249,293
170.000,267,299
170.110,275,302
170.220,291,303
170.350,301,298
170.470,315,288
170.580,320,284
170.700,328,275
170.820,335,263
170.930,341,255
171.050,345,247
171.160,347,241
171.290,347,226
171.400,348,217
171.510,350,213
171.630,357,208
171.750,364,200
171.860,375,195
171.970,382,191
172.080,389,191
172.200,398,192
172.300,400,194
172.410,401,196
172.540,401,194
172.650,401,193
172.760,402,193
172.870,400,194
172.980,398,195
173.100,396,193
173.210,397,193
173.330,400,194
173.440,407,201
173.560,408,211
173.680,407,222
173.800,405,233
173.920,399,246
174.040,396,255
174.170,394,273
174.280,393,289
174.400,391,305
174.510,386,310
174.620,379,314
174.730,368,314
174.840,361,312
174.950,349,309
175.060,327,303
175.180,311,299
175.290,293,297
175.410,281,299
175.520,262,304
175.640,248,309
175.750,233,313
175.860,213,314
175.980,200,312
176.090,187,304
176.210,176,294
176.330,164,279
176.440,156,262
176.570,149,240
176.680,147,227
176.790,146,212
176.900,146,196
177.010,147,179
177.130,148,158
177.250,148,138
177.370,147,125
177.480,146,109
177.600,144,89
177.720,145,77
177.830,145,76
177.940,145,75
178.060,146,73
178.180,146,74
178.300,146,74
178.410,145,73
178.520,145,74
178.640,145,74
178.760,144,73
178.870,144,72
179.000,145,71
179.130,145,70
179.240,146,70
179.360,146,69
179.470,146,66
179.590,148,59
179.700,149,56
179.820,149,55
179.950,148,53
180.060,148,53
180.180,147,52
180.290,147,52
180.400,147,52
180.520,146,51
180.640,146,51
180.760,145,51
180.880,145,51
181.000,145,51
181.120,146,51
181.230,146,51
181.340,145,51
181.460,146,51
181.570,146,51
181.690,146,51
181.800,146,51
181.920,146,51
182.030,146,51
182.150,146,51
182.260,145,52
182.380,145,52
182.490,145,52
182.600,145,52
182.710,145,52
182.830,145,53
182.950,144,52
183.070,144,52
183.180,144,53
183.300,145,53
183.420,145,53
183.540,144,52
183.650,144,53
183.760,145,52
183.870,144,52
183.980,144,52
184.110,144,52
184.220,144,52
184.350,144,52
184.460,144,53
184.580,144,52
184.710,144,53
184.820,144,52
184.930,144,52
185.050,144,52
185.170,144,53
185.280,144,53
185.400,144,53
185.510,144,52
185.620,147,54
185.730,148,54
185.850,149,55
185.960,151,55
186.080,152,57
186.190,152,57
186.300,151,55
186.410,149,54
186.530,149,53
186.630,151,53
186.750,151,53
186.870,152,53
186.980,152,53
187.100,152,53
187.220,151,53
187.330,151,53
187.450,151,53
187.560,151,54
187.670,151,54
187.790,151,54
187.900,151,54
188.020,151,54
188.130,151,54
188.240,150,54
188.360,150,54
188.480,150,54
188.590,151,55
188.710,152,54
188.830,154,54
188.940,164,54
189.060,181,54
189.180,198,54
189.290,218,52
189.400,228,52
189.520,233,51
189.630,242,51
189.750,251,51
189.870,261,52
189.980,282,53
190.100,299,53
190.220,320,53
190.330,336,52
190.440,355,52
190.560,379,52
190.670,395,53
190.780,406,53
190.900,415,54
191.010,416,54
191.120,414,54
191.230,414,54
191.350,414,54
191.450,414,54
191.580,416,55
191.690,422,57
191.810,424,57
191.920,424,57
192.030,424,57
192.140,424,55
192.260,425,55
192.370,424,55
192.480,423,55
192.600,423,55
192.720,423,55
192.840,423,55
192.960,423,55
193.070,423,55
193.190,423,55
193.300,422,55
193.420,422,55
193.550,422,55
193.660,422,55
193.760,422,55
193.880,422,56
194.000,423,56
194.110,422,56
194.230,422,56
194.340,422,56
194.460,422,56
194.580,422,56
194.690,422,56
194.800,422,56
194.910,422,56
195.020,422,56
195.150,422,56
195.260,422,56
195.370,422,56
